park_code,Park_Name,State,Acres,Latitude,Longitude,trails,campgrounds,Weather,Direction,URL,activities
NOCA,North Cascades National Park,WA,504781.0,48.7,-121.2,20.0,6.0,The best weather for visiting the North Cascades generally occurs between mid-June and late-September. Summer daytime temperatures average in the 70's F. Snow is off most trails by mid-July. Autumn and Spring are popular for color and wildlife. Storms are common: always be prepared for a few days of rain and wind. The east side of the Cascade Mountains (Lake Chelan National Recreation Area) is drier and warmer in the summer than the west side. Summer temperatures at Stehekin reach the 90's F.,"Access to North Cascades National Park and Ross Lake National Recreation Area is from the State Route 20 corridor. SR 20 (North Cascades Highway) connects with Interstate 5 (Exit 230) at Burlington. From the east, the highway intersects with US 97 at Okanogan and with SR 153 at Twisp. The State Department of Transportation closes a portion of the road between Ross Dam Trailhead and Lone Fir Campground in winter. The Lake Chelan National Recreation Area (Stehekin) is accessible by ferry or plane from Chelan.",https://www.nps.gov/noca/index.htm,12.0
OLYM,Olympic National Park,WA,922651.0,47.97,-123.5,170.0,13.0,"Summers tend to be fair and warm, with high temperatures between 65 and 75 degrees F. July, August and September are the driest months, with heavier precipitation during the rest of the year. While winters are mild at lower elevation, snowfall can be heavy in the mountains. It is common for different weather conditions to exist within the park at the same time.  At any time of year, visitors should come prepared for a variety of conditions.","You can reach Olympic National Park via the I-5 corridor or by any one of the quieter state roadways. Once you arrive on the Olympic Peninsula connect to Hwy 101 to reach any destinations in and around Olympic National Park.
From Olympia: take I-5 to Hwy 101
From Tacoma: take State Route 16 to Bremerton; take State Route 3 north from Bremerton to State Route 104.
From Washington/Oregon Coast connect to Hwy 101 in Aberdeen.",https://www.nps.gov/olym/index.htm,14.0
PEFO,Petrified Forest National Park,AZ,93533.0,35.07,-109.78,15.0,0.0,Petrified Forest National Park is a semi-arid grassland. Temperatures range from above 100° F (38° C) to well below freezing. About 10 inches (25.4 cm) of moisture comes during infrequent snow in the winter and often dramatic summer thunder-storms. Animals and plants are adapted to extremes in temperature and moisture. You should be ready too. Check out the forecast before you arrive and plan accordingly.,"Usually you can drive through the park to connect I-40 with Hwy 180. There is a Federal Highways Administration Road and Bridge Rehabilitation Project right now that creates a closure at the middle of the park road. Estimated Project Time: January 2nd through May 9th, 2020. For more information on this project and subsequent road closures please visit  <a href=""https://www.nps.gov/pefo/planyourvisit/road-closures.htm"">https://www.nps.gov/pefo/planyourvisit/road-closures.htm</a>",https://www.nps.gov/pefo/index.htm,13.0
PINN,Pinnacles National Park,CA,26606.0,36.48,-121.16,27.0,1.0,"Pinnacles National Park has a Mediterranean climate with hot and dry summers, and mild winters with moderate precipitation. The park is several miles inland from the Pacific Ocean. A wider variation in seasonal temperatures can be expected in the local area. On July or August day, daytime temperatures over 100° F are not uncommon, but a bright sunny day can turn into a very cold night.","Pinnacles National Park is accessible through highway 101 for the West entrance, and highway 25 for the East entrance. From highway 101 you must pass through the City of Soledad to find highway 146 which will lead to West side of Pinnacles. To enter East Pinnacles you must find highway 25 through the City of Hollister coming from the North, and King City through Bitter Water Road (G-13) when coming from the South.",https://www.nps.gov/pinn/index.htm,7.0
REDW,Redwood National Park,CA,112512.0,41.3,-124.0,22.0,4.0,"Visitors should be prepared for cooler and damp weather. Dress in layers and expect to get wet.
Year-round temperatures along California's redwood coast: mid-40s°F (7°C) to mid-60s°F (18°C). 

Summer can be foggy, with highs occasionally reaching low 70s°F (20°C). 
Winters are cooler with considerable rain. October through April averages 60-80 inches of rain over the region.","Redwood National and State Parks is located in northernmost coastal California - almost on the Oregon border. The parks are about 60-miles long, with four visitor centers from north to south.

We are a six to seven-hour drive (325 miles) north of San Francisco, a six-hour drive (330 miles) south of Portland, OR and a four-hour drive (170 miles) west of Redding, CA.",https://www.nps.gov/redw/index.htm,10.0
ROMO,Rocky Mountain National Park,CO,265828.0,40.4,-105.58,207.0,5.0,"Winter (Dec–Mar): cold weather, deep snow at higher elevations, and seasonal closures of facilities and roads. Spring (April–May): unpredictable weather, with a mix of warm sunny days and cool days with heavy snow and rain. Many trails are still snow-covered. Trail Ridge Road opens in late May. Summer (Jun–Aug): warmer weather, thunderstorms, and wildflowers. Most park roads and facilities are open. Fall (Sep–Nov): crisp air, blue skies, fall colors, and the elk rut. Trail Ridge Road closes mid-October.","Driving from the east: from I-25, take US Hwy 34 or 36. Driving from the west: from I-70, take US Hwy 40 to Granby to US Hwy 34 to Grand Lake. From mid-October until late May, Trail Ridge Road between Estes Park and Grand Lake is closed to vehicles, so driving between the two takes ~4 hours. The closest airport is Denver International (DIA). There is no public transportation between nearby cities and the park.",https://www.nps.gov/romo/index.htm,15.0
SAGU,Saguaro National Park,AZ,91440.0,32.25,-110.5,60.0,6.0,"Winter Season
With daytime temperature from the low 50's to the high 70's

Summer Season 
As we get deeper into the summer season, temperatures will range from mid-90's to low 110's. This is a great time to experience the desert as the day breaks or in the late of the day as the sun disappears behind the surrounding mountain ranges. During the late spring and summer months Saguaro National Park only offers interpretive programs on an intermittent basis.","Saguaro National Park has two districts separated by the city of Tucson.  We do not recommend using mobile mapping applications to search for either district.  Instead, please click the link to the directions page, determine which district you plan to visit, and enter that physical address into the mobile application.",https://www.nps.gov/sagu/index.htm,7.0
SEKI,Sequoia and Kings Canyon National Parks,CA,865952.0,36.43,-118.68,,14.0,"Because of the extreme elevation range in these parks, weather conditions vary widely between areas. 

In summer, the sequoia groves have comfortable temperatures and the foothills are hot and dry. Snow lingers on high-mountain passes well into summer.

In fall, some areas close or reduce their hours. Winter brings snow to sequoia groves and rain to the foothills. Be prepared for tire chain requirements. 

Spring is a great time to hike in the foothills and snow begins to melt at higher elevations.","Two highways enter the parks. Hwy 180 from Fresno leads east to Kings Canyon National Park, then continues 30 miles east to Cedar Grove. Hwy 198 from Visalia leads east to Sequoia National Park via Three Rivers. Inside the parks, Highway 198 becomes the Generals Highway, which connects 198 to 180. 

Vehicles over 22-feet long should enter the parks via Highway 180.

In winter, the Generals Highway between the parks often closes. Chains may be required on park roads.

No roads cross these parks east to west.",https://www.nps.gov/seki/index.htm,13.0
SHEN,Shenandoah National Park,VA,199045.0,38.53,-78.35,187.0,4.0,"Shenandoah experiences four distinct seasons. Best known for its fall foliage, the park is also spectacular in spring when the wildflowers and trees are in full bloom. Summer brings lush greens and relief from the hot valleys. The park's elevation encourages as much as a 10 degree temperature difference. In winter, this means that when surrounding lowlands are experiencing rain, the the park can be blanketed in snow and ice. It's always a good idea to be prepared for varying weather.","Shenandoah National Park is located in the Blue Ridge Mountains of Virginia, west of Washington, D.C. It stretches 105 miles and has four entrances: Front Royal (northern entrance), Thornton Gap, Swift Run Gap, and Rockfish Gap (southern entrance to Shenandoah and the northern entrance to the Blue Ridge Parkway). The physical address listed is to the administrative offices, not the park itself. GPS can be unreliable for navigating to the park.",https://www.nps.gov/shen/index.htm,12.0
THRO,Theodore Roosevelt National Park,ND,70447.0,46.97,-103.45,23.0,3.0,"In winter, some or all park roads may be closed due to snow.","Theodore Roosevelt National Park is located in the Badlands of western North Dakota. 
There are three units to the park. The South Unit entrance is in the town of Medora, ND off of Interstate 94 exits 24 and 27. The North Unit entrance is on Highway 85 approximately 14 miles south of Watford City, ND. The remote Elkhorn Ranch Unit sits roughly in the middle of the North and South Units and is accessed via gravel roads. Consult park staff for directions to the Elkhorn Ranch Unit.",https://www.nps.gov/thro/index.htm,10.0
VOYA,Voyageurs National Park,MN,218200.0,48.5,-92.88,7.0,,,,,
WICA,Wind Cave National Park,SD,28295.0,43.57,-103.48,10.0,1.0,"Spring:  Highs range from 50 - 70 F with highly variable weather. Spring is the park's wettest season.

Summer:  Warm and generally dry with highs in the 80s F. Thunderstorms are common and can produce large hail and severe lightning. 

Fall:  Generally dry with warm days and cool nights. Highs in the 50s - 60s F. Lows below freezing are common.

Winter: Highs in the upper 30s F with lows in the 10s F. Snowfall averages 30 inches annually, periodically closing park roads.","Wind Cave National Park is located in South Dakota about 11 miles north of Hot Springs, or about 22 miles south of Custer, on US Highway 385. The park Visitor Center, where all cave tours begin, is approximately 1/2 mile west of the highway.",https://www.nps.gov/wica/index.htm,8.0
WRST,Wrangell - St Elias National Park and Preserve,AK,8323148.0,61.0,-142.0,,1.0,Varies widely depending on location in park and time of year.  Visit http://www.nps.gov/wrst/planyourvisit/weather.htm for detailed information.,"The administrative building and main park visitor center are located along the Richardson Highway (Hwy 4), which is a paved state highway that runs through Copper Center, AK. The buildings are 8 miles south of the Glenn Highway and Richardson Highway intersection near Glennallen, Alaska.  This is approximately 200 miles east of Anchorage, AK and 250 miles south of Fairbanks, AK.",https://www.nps.gov/wrst/index.htm,15.0
YELL,Yellowstone National Park,"WY, MT, ID",2219791.0,44.6,-110.5,228.0,12.0,"Yellowstone's weather can vary quite a bit, even in a single day. In the summer, daytime highs can exceed 70°F (25°C), only to drop 20 or more degrees when a thunderstorm rolls through. It can snow during any month of the year, and winter lows frequently drop below 0°F (-18°C), especially at night. Bring a range of clothing options, including a warm jacket and rain gear, even in the summer.","Yellowstone National Park covers nearly 3,500 square miles in the northwest corner of Wyoming (3% of the park is in Montana and 1% is in Idaho). Yellowstone has five entrance stations, and several are closed to regular vehicles during winter. It takes many hours to drive between these entrances, so be sure to check the status of roads at the entrance you intend to use while planning your trip and before you arrive.",https://www.nps.gov/yell/index.htm,17.0
YOSE,Yosemite National Park,CA,761266.0,37.83,-119.5,242.0,8.0,"Yosemite National Park covers nearly 1,200 square miles (3,100 square km) in the Sierra Nevada, with elevations ranging from about 2,000 feet (600 m) to 13,000 ft (4,000 m). Yosemite receives 95% of its precipitation between October and May (and over 75% between November and March). Most of Yosemite is blanketed in snow from about November through May. (Yosemite Valley can be rainy or snowy in any given winter storm.)","You can drive to Yosemite all year and enter via Highways 41, 140, and 120 from the west. Tioga Pass Entrance (via Highway 120 from the east) is closed from around November through late May or June. Hetch Hetchy is open all year but may close intermittently due to snow.

Please note that GPS units do not always provide accurate directions to or within Yosemite.",https://www.nps.gov/yose/index.htm,20.0
ZION,Zion National Park,UT,146598.0,37.3,-113.05,94.0,3.0,"Zion is known for a wide range of weather conditions. Temperatures vary with changes in elevation and day/night temperatures may differ by over 30°F.

In summer, temperatures in Zion National Park often exceed 100°F/38°C. Zion experiences monsoons from mid-July into September that results in an increased risk of flash floods. Always be aware of the threat of storms and lightning and be prepared for a wide range of weather conditions. Winters are generally mild.","Zion National Park is located on State Route 9 in Springdale, Utah.",https://www.nps.gov/zion/index.htm,7.0
GARR,,,,,,,0.0,Not Available,Not Available,Not Available,1.0
VOTA,,,,,,,0.0,Not Available,Not Available,Not Available,1.0
